Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
SP2,2002-02-17,Eibar,Santander,2,2,D,1,1,D,2.15,2.8,3.2,2.2,2.7,2.9,2.3,2.75,3.1,2.2,2.75,3.2,ES,2001/2002
SP2,2002-02-17,Numancia,Cordoba,0,2,A,0,1,A,2.1,2.85,3.25,2.0,2.7,3.3,2.0,2.8,3.75,2.0,2.8,3.6,ES,2001/2002
SP2,2002-02-17,Ferrol,Extremadura,2,0,H,0,0,D,2.1,2.8,3.3,2.1,2.7,3.1,2.1,2.8,3.4,2.1,2.8,3.3,ES,2001/2002
SP2,2002-02-17,Salamanca,Poli Ejido,0,2,A,0,1,A,1.5,3.35,5.85,1.45,3.2,5.7,1.444,3.4,7.0,1.5,3.4,5.75,ES,2001/2002
SP2,2002-02-17,Sp Gijon,Murcia,0,1,A,0,1,A,1.75,3.0,4.32,1.75,2.9,3.8,1.727,3.1,4.5,1.75,3.0,4.3,ES,2001/2002
SP2,2002-02-23,Burgos,Eibar,0,0,D,0,0,D,2.2,2.8,3.25,2.1,2.7,3.1,2.0,2.875,3.6,2.05,2.85,3.4,ES,2001/2002
SP2,2002-02-23,Poli Ejido,Recreativo,0,0,D,0,0,D,2.9,2.8,2.4,2.9,2.7,2.2,2.75,2.75,2.5,2.9,2.8,2.3,ES,2001/2002
SP2,2002-02-24,Ath Madrid,Sp Gijon,0,1,A,0,0,D,1.45,3.5,6.85,1.45,3.3,5.5,1.533,3.25,6.0,1.45,3.4,6.5,ES,2001/2002
SP2,2002-02-24,Cordoba,Albacete,3,1,H,1,0,H,2.4,2.7,3.0,2.3,2.7,2.7,2.3,2.7,3.1,2.3,2.7,3.0,ES,2001/2002
SP2,2002-02-24,Elche,Numancia,1,1,D,0,0,D,1.95,2.8,4.0,1.9,2.7,3.6,1.8,3.0,4.333,1.8,3.0,4.0,ES,2001/2002
SP2,2002-02-24,Extremadura,Leganes,2,1,H,1,0,H,2.0,2.9,3.5,2.0,2.8,3.1,2.0,2.875,3.6,2.1,2.85,3.2,ES,2001/2002
SP2,2002-02-24,Gimnastic,Salamanca,2,2,D,0,1,A,2.55,2.7,2.8,2.3,2.7,2.7,2.375,2.8,2.875,2.3,2.75,2.95,ES,2001/2002
SP2,2002-02-24,Murcia,Badajoz,1,1,D,1,0,H,2.35,2.8,2.95,2.2,2.7,2.9,2.25,2.8,3.1,2.2,2.8,3.1,ES,2001/2002
SP2,2002-02-24,Oviedo,Levante,1,1,D,0,1,A,1.5,3.4,6.2,1.5,3.2,5.0,1.444,3.4,7.0,1.45,3.5,6.25,ES,2001/2002
SP2,2002-02-24,Santander,Ferrol,0,1,A,0,0,D,1.6,3.2,5.5,1.6,2.9,4.7,1.615,3.1,5.5,1.65,3.25,4.5,ES,2001/2002
SP2,2002-02-24,Xerez,Jaen,1,0,H,0,0,D,1.6,3.2,5.5,1.6,2.9,4.7,1.571,3.1,6.0,1.55,3.0,6.5,ES,2001/2002
SP2,2002-02-03,Leganes,Santander,1,4,A,0,2,A,2.55,2.65,2.72,2.5,2.5,2.7,2.6,2.8,2.6,2.6,2.6,2.75,ES,2001/2002
SP2,2002-02-03,Recreativo,Gimnastic,1,0,H,0,0,D,1.58,3.15,5.4,1.6,3.0,4.6,,,,,,,ES,2001/2002
SP2,2002-03-03,Albacete,Elche,0,2,A,0,0,D,1.85,2.85,4.1,1.8,2.7,3.9,1.8,3.0,4.333,1.85,2.75,4.3,ES,2001/2002
SP2,2002-03-03,Badajoz,Ath Madrid,0,1,A,0,1,A,3.0,2.95,2.15,3.3,2.7,2.0,2.875,3.1,2.2,3.5,2.85,2.0,ES,2001/2002
SP2,2002-03-03,Cordoba,Xerez,0,0,D,0,0,D,2.55,2.7,2.68,2.55,2.6,2.55,2.5,2.875,2.625,2.7,2.75,2.5,ES,2001/2002
SP2,2002-03-03,Eibar,Jaen,1,1,D,1,0,H,1.8,2.9,4.3,1.8,2.8,3.7,1.8,3.0,4.0,1.75,3.0,4.3,ES,2001/2002
SP2,2002-03-03,Levante,Extremadura,1,0,H,1,0,H,2.45,2.7,2.8,2.5,2.6,2.6,2.375,2.7,3.0,2.5,2.65,2.8,ES,2001/2002
SP2,2002-03-03,Numancia,Murcia,1,0,H,1,0,H,2.25,2.7,3.1,2.2,2.7,2.9,2.1,2.8,3.4,2.2,2.7,3.2,ES,2001/2002
SP2,2002-03-03,Ferrol,Burgos,3,0,H,1,0,H,2.25,2.7,3.1,2.1,2.7,3.1,2.1,2.9,3.25,2.1,2.8,3.3,ES,2001/2002
SP2,2002-03-03,Salamanca,Oviedo,3,0,H,0,0,D,2.52,2.7,2.7,2.5,2.6,2.6,2.5,2.7,2.8,2.5,2.65,2.8,ES,2001/2002
SP2,2002-03-03,Sp Gijon,Poli Ejido,1,1,D,1,1,D,1.58,3.2,5.25,1.5,3.0,5.3,1.571,3.25,5.5,1.5,3.3,6.0,ES,2001/2002
SP2,2002-09-03,Ath Madrid,Numancia,2,2,D,1,0,H,1.35,3.75,8.0,1.4,3.2,6.5,1.364,3.75,8.0,1.4,3.5,7.5,ES,2001/2002
SP2,2002-10-03,Burgos,Leganes,0,0,D,0,0,D,1.85,3.0,3.85,1.9,2.7,3.6,1.8,3.0,4.333,2.0,2.7,3.75,ES,2001/2002
SP2,2002-10-03,Poli Ejido,Badajoz,1,0,H,0,0,D,2.4,2.7,2.9,2.4,2.6,2.7,2.4,2.75,2.875,2.4,2.75,2.8,ES,2001/2002
SP2,2002-10-03,Elche,Cordoba,2,3,A,1,0,H,1.85,3.0,3.85,2.0,2.7,3.3,1.909,2.875,4.0,2.0,2.7,3.75,ES,2001/2002
SP2,2002-10-03,Extremadura,Salamanca,0,1,A,0,0,D,2.15,2.75,3.3,2.1,2.7,3.1,2.0,2.8,3.75,2.1,2.8,3.3,ES,2001/2002
SP2,2002-10-03,Gimnastic,Sp Gijon,1,1,D,1,1,D,2.6,2.6,2.75,2.5,2.6,2.6,2.6,2.8,2.6,2.5,2.8,2.65,ES,2001/2002
SP2,2002-10-03,Jaen,Ferrol,1,4,A,0,1,A,2.35,2.75,2.9,2.3,2.7,2.7,2.2,2.8,3.2,2.25,2.8,3.0,ES,2001/2002
SP2,2002-10-03,Murcia,Albacete,0,0,D,0,0,D,2.35,2.75,2.9,2.4,2.6,2.7,2.375,2.75,2.9,2.4,2.8,2.75,ES,2001/2002
SP2,2002-10-03,Oviedo,Recreativo,1,1,D,0,0,D,2.05,2.75,3.55,2.2,2.6,3.0,2.1,2.7,3.6,2.25,2.5,3.5,ES,2001/2002
SP2,2002-10-03,Santander,Levante,4,2,H,1,1,D,1.45,3.45,6.5,1.4,3.2,6.5,1.444,3.4,7.0,1.4,3.6,7.0,ES,2001/2002
SP2,2002-10-03,Xerez,Eibar,1,0,H,0,0,D,1.7,3.0,4.75,1.65,2.8,4.6,1.667,3.0,5.0,1.65,3.0,5.0,ES,2001/2002
SP2,2002-03-16,Albacete,Ath Madrid,2,1,H,2,1,H,2.95,2.85,2.28,2.6,2.8,2.3,3.0,2.8,2.3,,,,ES,2001/2002
SP2,2002-03-17,Badajoz,Gimnastic,2,1,H,1,0,H,1.85,2.9,4.15,1.85,2.9,3.4,1.8,3.0,4.333,,,,ES,2001/2002
SP2,2002-03-17,Cordoba,Murcia,2,1,H,0,0,D,2.0,2.85,3.65,2.0,2.8,3.1,1.909,3.0,3.75,,,,ES,2001/2002
SP2,2002-03-17,Elche,Xerez,4,0,H,2,0,H,2.35,2.7,3.0,2.3,2.7,2.7,2.25,2.8,3.1,,,,ES,2001/2002
SP2,2002-03-17,Leganes,Jaen,2,0,H,1,0,H,2.15,2.8,3.3,2.2,2.7,2.9,2.0,2.875,3.6,,,,ES,2001/2002
SP2,2002-03-17,Levante,Burgos,0,0,D,0,0,D,2.55,2.65,2.78,2.6,2.5,2.6,2.4,2.8,2.8,,,,ES,2001/2002
SP2,2002-03-17,Numancia,Poli Ejido,3,0,H,0,0,D,1.85,2.9,4.15,1.75,2.9,3.8,1.8,3.0,4.333,,,,ES,2001/2002
SP2,2002-03-17,Ferrol,Eibar,1,1,D,1,1,D,1.9,2.9,3.8,1.9,2.8,3.4,1.909,2.875,4.0,,,,ES,2001/2002
SP2,2002-03-17,Recreativo,Extremadura,3,2,H,2,2,D,1.65,3.1,5.0,1.65,2.9,4.4,1.667,3.1,5.0,,,,ES,2001/2002
SP2,2002-03-17,Salamanca,Santander,1,2,A,0,1,A,2.35,2.65,3.07,2.3,2.6,2.8,2.25,2.7,3.2,,,,ES,2001/2002
SP2,2002-03-17,Sp Gijon,Oviedo,0,0,D,0,0,D,2.45,2.7,2.85,2.4,2.65,2.65,2.3,2.8,3.0,,,,ES,2001/2002
SP2,2002-03-23,Ath Madrid,Cordoba,0,0,D,0,0,D,1.45,3.65,5.65,1.5,3.1,5.2,1.444,3.4,7.0,,,,ES,2001/2002
SP2,2002-03-23,Eibar,Leganes,0,0,D,0,0,D,1.75,3.05,4.15,1.9,2.7,3.6,1.833,2.875,4.333,1.95,2.85,3.75,ES,2001/2002
SP2,2002-03-23,Gimnastic,Numancia,3,1,H,3,0,H,2.2,2.85,3.0,2.4,2.6,2.7,2.2,2.8,3.2,2.45,2.75,2.75,ES,2001/2002
SP2,2002-03-23,Xerez,Ferrol,2,1,H,1,0,H,1.67,3.2,4.35,1.8,2.8,3.7,1.727,3.1,4.5,1.85,2.9,4.0,ES,2001/2002
SP2,2002-03-24,Burgos,Salamanca,0,0,D,0,0,D,2.2,2.85,3.0,2.3,2.6,2.8,2.2,2.7,3.3,2.2,2.6,3.4,ES,2001/2002
SP2,2002-03-24,Poli Ejido,Albacete,2,0,H,0,0,D,2.57,2.85,2.5,2.5,2.6,2.6,2.7,2.8,2.5,2.6,2.7,2.65,ES,2001/2002
SP2,2002-03-24,Extremadura,Sp Gijon,1,2,A,1,2,A,2.15,2.85,3.1,2.1,2.6,3.0,2.25,2.875,3.0,2.45,2.7,2.8,ES,2001/2002
SP2,2002-03-24,Jaen,Levante,0,1,A,0,0,D,1.92,3.0,3.5,1.9,2.8,3.4,1.909,2.875,4.0,1.95,2.85,3.75,ES,2001/2002
SP2,2002-03-24,Murcia,Elche,2,1,H,1,0,H,2.22,2.9,2.9,2.3,2.6,2.8,2.25,2.8,3.1,2.35,2.7,2.95,ES,2001/2002
SP2,2002-03-24,Oviedo,Badajoz,1,0,H,1,0,H,1.67,3.0,4.75,1.75,2.7,4.2,1.667,3.1,5.0,1.75,2.8,4.8,ES,2001/2002
SP2,2002-03-24,Santander,Recreativo,1,5,A,0,1,A,1.85,2.85,4.0,2.0,2.6,3.5,1.909,2.75,4.2,2.05,2.7,3.6,ES,2001/2002
