Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Country,Season
D2,2002-10-02,Babelsberg,Aachen,0,2,A,0,1,A,3080,"Rafati, B",17.0,12.0,7.0,4.0,0.0,0.0,6.0,5.0,18.0,21.0,3.0,1.0,3,1,0,0,30,10,2.3,3.1,2.7,2.3,3.0,2.7,2.375,3.1,2.625,2.3,3.2,2.625,2.05,3.2,3.0,DE,2001/2002
D2,2002-10-02,Oberhausen,Bochum,6,1,H,3,0,H,7276,"Perl, G.",17.0,11.0,9.0,3.0,0.0,0.0,8.0,6.0,18.0,21.0,2.0,1.0,1,3,0,1,10,55,2.75,3.15,2.25,2.7,3.0,2.3,2.8,3.1,2.25,2.75,3.25,2.2,2.9,3.25,2.05,DE,2001/2002
D2,2002-10-02,Reutlingen,Union Berlin,1,2,A,0,1,A,6000,"Schößling, C",14.0,5.0,7.0,3.0,1.0,0.0,3.0,4.0,10.0,16.0,4.0,4.0,2,2,0,0,20,20,2.05,3.1,3.2,2.1,3.0,3.1,2.2,3.0,3.0,2.1,3.2,3.0,2.05,3.2,3.0,DE,2001/2002
D2,2002-11-02,Hannover,Mainz,2,0,H,1,0,H,20000,"Krug, H",9.0,19.0,3.0,3.0,0.0,2.0,4.0,3.0,23.0,19.0,3.0,4.0,3,2,0,0,30,20,1.8,3.25,3.8,1.7,3.2,4.2,1.9,3.1,3.6,1.833,3.25,3.6,1.75,3.25,3.85,DE,2001/2002
D2,2002-02-15,Greuther Furth,Schweinfurt,2,0,H,1,0,H,9331,"Frank, T",19.0,6.0,9.0,1.0,0.0,0.0,5.0,1.0,8.0,16.0,5.0,1.0,1,4,0,1,10,65,1.25,4.5,9.0,1.35,4.0,7.0,1.333,4.0,8.0,1.333,4.0,8.0,1.3,4.0,8.5,DE,2001/2002
D2,2002-02-15,Union Berlin,Mannheim,2,0,H,0,0,D,7874,"Aust, J",13.0,8.0,4.0,3.0,1.0,0.0,10.0,3.0,5.0,9.0,1.0,1.0,0,2,0,0,0,20,1.68,3.4,4.2,1.7,3.2,4.2,1.727,3.2,4.333,1.727,3.4,4.0,1.7,3.25,4.15,DE,2001/2002
D2,2002-02-15,Unterhaching,Babelsberg,3,1,H,1,0,H,2200,"Voss, K",21.0,10.0,6.0,7.0,0.0,0.0,10.0,5.0,16.0,19.0,0.0,0.0,1,4,1,1,35,65,1.57,3.45,5.0,1.55,3.5,4.8,1.571,3.3,5.5,,,,1.6,3.3,4.75,DE,2001/2002
D2,2002-02-16,Aachen,Reutlingen,1,1,D,0,0,D,8894,"Stachowiak, A",7.0,5.0,4.0,1.0,1.0,1.0,6.0,3.0,20.0,16.0,0.0,1.0,3,2,0,0,30,20,1.85,3.2,3.5,1.9,3.1,3.5,1.85,3.25,3.6,1.909,3.2,3.5,1.8,3.3,3.6,DE,2001/2002
D2,2002-02-16,Mainz,Oberhausen,3,3,D,2,0,H,8655,"Kircher, K",13.0,9.0,6.0,5.0,0.0,0.0,10.0,4.0,12.0,15.0,5.0,1.0,2,2,0,0,20,20,1.47,3.7,5.7,1.6,3.4,4.6,1.5,3.5,5.75,1.444,3.75,6.0,1.55,3.55,4.75,DE,2001/2002
D2,2002-02-17,Bochum,Ahlen,3,1,H,1,0,H,10339,"Wezel, V",13.0,7.0,6.0,2.0,0.0,0.0,5.0,3.0,15.0,17.0,3.0,2.0,1,3,1,0,35,30,1.8,3.2,3.85,1.8,3.1,3.8,1.833,3.2,3.75,1.833,3.2,3.75,1.75,3.3,3.8,DE,2001/2002
