Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
I2,2004-09-18,Albinoleffe,Modena,2,0,H,2,0,H,2.5,2.62,3.0,2.5,2.5,3.1,2.45,2.55,3.1,2.4,2.5,3.0,2.4,2.5,3.2,2.4,2.6,3.1,2.6,2.7,2.7,2.0,1.61,1.7,2.05,0.0,IT,2004/2005
I2,2004-09-18,Ascoli,Torino,0,3,A,0,1,A,2.62,2.62,2.75,2.85,2.5,2.65,2.75,2.6,2.65,2.7,2.5,2.6,2.875,2.625,2.625,2.62,2.62,2.75,2.75,2.6,2.65,1.74,1.85,1.95,1.77,0.0,IT,2004/2005
I2,2004-12-19,Crotone,Venezia,2,0,H,1,0,H,1.9,2.7,4.33,1.95,2.75,4.1,1.9,2.75,4.3,2.0,2.7,3.6,1.91,2.75,4.33,1.91,2.75,4.2,1.9,2.7,4.3,2.0,1.61,1.9,1.68,-0.5,IT,2004/2005
I2,2004-12-19,Genoa,Empoli,3,2,H,2,1,H,1.8,2.87,4.5,1.75,2.85,5.0,1.8,2.9,4.5,1.8,2.7,4.4,1.8,2.88,4.5,1.8,2.8,4.75,1.75,2.9,4.75,1.8,1.8,1.8,1.76,-0.5,IT,2004/2005
I2,2004-12-19,Ternana,Pescara,0,0,D,0,0,D,1.9,2.7,4.33,1.9,2.7,4.45,1.85,2.65,4.85,1.85,2.7,4.2,1.91,2.75,4.33,1.91,2.7,4.33,1.9,2.65,4.5,2.1,1.56,1.85,1.71,-0.5,IT,2004/2005
I2,2004-12-19,Treviso,Catanzaro,2,0,H,0,0,D,1.66,2.9,5.5,1.8,2.7,5.15,1.75,2.8,5.1,1.7,2.8,4.8,1.73,2.88,5.0,1.75,2.8,5.0,1.8,2.85,4.5,1.95,1.66,1.75,1.81,-0.5,IT,2004/2005
I2,2004-12-19,Triestina,Torino,0,1,A,0,0,D,2.7,2.6,2.7,2.7,2.6,2.75,2.65,2.6,2.75,2.6,2.6,2.7,2.62,2.62,2.8,2.62,2.6,2.8,2.55,2.6,2.85,1.95,1.66,2.65,1.34,-0.5,IT,2004/2005
I2,2004-12-19,Verona,Vicenza,5,3,H,0,1,A,1.72,2.87,5.0,1.8,2.7,5.15,1.8,2.8,4.75,1.75,2.8,4.5,1.8,2.88,4.5,1.8,2.8,4.75,1.75,2.9,4.75,1.75,1.85,1.8,1.76,-0.5,IT,2004/2005
I2,2004-12-20,Ascoli,Cesena,4,0,H,1,0,H,1.72,2.87,5.0,1.75,2.8,5.2,1.8,2.8,4.75,1.75,2.8,4.5,1.8,2.88,4.5,1.8,2.8,4.75,1.7,2.8,5.5,1.9,1.7,1.8,1.76,-0.5,IT,2004/2005
I2,2005-01-06,Catanzaro,Genoa,1,1,D,1,0,H,3.5,2.75,2.1,3.35,2.65,2.25,3.3,2.75,2.2,3.6,2.7,2.0,3.4,2.8,2.1,3.4,2.8,2.1,,,,1.74,1.85,1.5,2.2,0.5,IT,2004/2005
I2,2005-01-06,Cesena,Albinoleffe,2,1,H,1,0,H,2.0,2.75,4.0,2.05,2.7,3.8,2.05,2.7,3.8,2.0,2.7,3.6,2.0,2.8,3.75,2.1,2.8,3.4,,,,1.9,1.7,2.05,1.58,-0.5,IT,2004/2005
I2,2005-01-06,Empoli,Treviso,0,1,A,0,1,A,1.72,2.87,5.0,1.7,2.9,5.35,1.7,2.9,5.25,1.7,2.8,4.8,1.73,2.9,5.0,1.73,2.88,5.0,,,,1.8,1.8,1.7,1.87,-0.5,IT,2004/2005
I2,2005-01-06,Modena,Catania,1,0,H,1,0,H,2.0,2.75,4.0,2.1,2.65,3.75,2.0,2.7,3.95,1.9,2.7,4.0,2.0,2.7,4.0,2.0,2.75,3.8,,,,1.9,1.7,2.0,1.6,-0.5,IT,2004/2005
I2,2005-01-06,Perugia,Ascoli,2,0,H,1,0,H,1.8,2.75,5.0,1.8,2.75,5.0,1.8,2.8,4.75,1.8,2.7,4.4,1.83,2.75,4.5,1.85,2.8,4.33,,,,1.8,1.8,1.8,1.76,-0.5,IT,2004/2005
I2,2005-01-06,Pescara,Bari,2,2,D,1,1,D,2.25,2.62,3.5,2.2,2.65,3.45,2.15,2.65,3.55,2.1,2.7,3.3,2.1,2.75,3.5,2.2,2.7,3.3,,,,2.1,1.56,2.15,1.52,-0.5,IT,2004/2005
I2,2005-01-06,Piacenza,Crotone,3,0,H,1,0,H,1.72,2.87,5.0,1.65,2.9,5.9,1.65,2.9,5.8,1.7,2.8,4.8,1.7,2.8,5.5,1.67,2.9,5.5,,,,1.8,1.8,1.65,1.93,-0.5,IT,2004/2005
I2,2005-01-06,Salernitana,Verona,1,2,A,1,1,D,2.2,2.75,3.25,2.35,2.75,3.0,2.25,2.75,3.15,2.4,2.7,2.8,2.3,2.75,3.1,2.3,2.75,3.1,,,,1.74,1.85,2.25,1.47,-0.5,IT,2004/2005
I2,2005-01-06,Torino,Ternana,2,1,H,1,0,H,1.57,3.5,5.0,1.6,2.9,6.5,1.6,3.0,6.1,1.55,3.1,5.5,1.62,2.9,6.0,1.62,3.0,5.75,,,,1.8,1.8,1.6,2.01,-0.5,IT,2004/2005
I2,2005-02-20,Arezzo,Ternana,1,2,A,0,1,A,2.2,2.75,3.25,2.2,2.55,3.65,2.1,2.6,3.8,2.2,2.6,3.2,2.1,2.62,3.75,2.2,2.6,3.4,2.1,2.62,3.8,2.0,1.61,2.1,1.54,-0.5,IT,2004/2005
I2,2005-02-20,Ascoli,Catania,1,2,A,1,0,H,1.9,2.8,4.0,1.9,2.7,4.5,1.9,2.7,4.45,1.9,2.7,4.0,2.0,2.7,4.0,1.91,2.7,4.33,1.9,2.7,4.33,1.8,1.8,1.9,1.68,-0.5,IT,2004/2005
I2,2005-02-20,Bari,Verona,1,0,H,1,0,H,2.37,2.7,3.0,2.3,2.6,3.3,2.25,2.7,3.25,2.3,2.6,3.0,2.25,2.7,3.2,2.4,2.7,2.9,2.2,2.62,3.5,1.95,1.66,2.25,1.47,-0.5,IT,2004/2005
I2,2005-02-20,Catanzaro,Albinoleffe,0,1,A,0,1,A,2.2,2.75,3.25,2.1,2.95,3.25,2.15,2.85,3.25,2.2,2.6,3.2,2.1,2.9,3.25,2.2,2.8,3.1,2.1,2.75,3.5,1.95,1.66,2.15,1.52,-0.5,IT,2004/2005
I2,2005-02-20,Cesena,Venezia,1,1,D,1,0,H,1.66,2.87,5.5,1.8,2.8,4.8,1.75,2.9,4.85,1.7,2.8,4.8,1.7,3.0,5.0,1.67,2.9,5.5,1.66,2.9,5.5,2.0,1.6,1.75,1.81,-0.5,IT,2004/2005
I2,2005-02-20,Empoli,Piacenza,0,0,D,0,0,D,1.72,2.87,5.0,1.7,3.0,5.0,1.65,3.0,5.5,1.65,2.9,5.0,1.67,3.0,5.5,1.73,2.9,5.0,1.66,2.9,5.5,2.0,1.61,1.65,1.94,-0.5,IT,2004/2005
I2,2005-02-20,Torino,Crotone,1,0,H,1,0,H,1.44,3.6,6.5,1.4,3.55,8.0,1.4,3.7,7.25,1.4,3.4,7.0,1.44,3.3,7.5,1.4,3.5,8.0,1.4,3.5,8.0,1.8,1.8,1.4,2.45,-0.5,IT,2004/2005
I2,2005-02-20,Treviso,Triestina,2,0,H,1,0,H,1.72,2.87,5.0,1.72,2.9,5.1,1.73,2.9,5.0,1.75,2.8,4.5,1.62,3.1,5.5,1.73,2.9,5.0,1.66,2.9,5.5,2.0,1.6,1.73,1.84,-0.5,IT,2004/2005
I2,2005-02-20,Vicenza,Genoa,2,2,D,1,0,H,2.5,2.62,2.9,2.5,2.6,2.95,2.5,2.6,2.95,2.6,2.6,2.7,2.4,2.6,3.1,2.5,2.6,2.9,2.6,2.6,2.8,1.8,1.8,2.5,1.38,-0.5,IT,2004/2005
I2,2005-02-21,Perugia,Salernitana,0,1,A,0,1,A,1.61,3.1,5.5,1.6,3.05,6.0,1.6,3.1,5.7,1.65,2.9,5.0,1.57,3.1,6.0,1.6,3.0,6.0,1.6,3.0,6.0,1.95,1.66,1.6,2.01,-0.5,IT,2004/2005
I2,2005-02-25,Piacenza,Torino,1,0,H,0,0,D,2.6,2.8,2.6,2.65,2.65,2.75,2.6,2.7,2.7,2.6,2.6,2.7,2.62,2.62,2.75,2.5,2.75,2.8,2.6,2.7,2.7,2.15,1.55,2.6,1.35,-0.5,IT,2004/2005
I2,2005-02-27,Cesena,Perugia,0,1,A,0,0,D,2.5,2.75,2.75,2.7,2.6,2.75,2.55,2.7,2.75,2.6,2.6,2.7,2.5,2.75,2.8,2.6,2.62,2.8,2.55,2.7,2.75,2.1,1.56,2.55,1.36,-0.5,IT,2004/2005
I2,2005-02-27,Crotone,Arezzo,2,0,H,1,0,H,2.1,2.7,3.5,2.2,2.7,3.4,2.15,2.75,3.35,2.2,2.6,3.2,2.1,2.8,3.4,2.2,2.75,3.25,2.25,2.7,3.2,1.9,1.7,2.15,1.51,-0.5,IT,2004/2005
I2,2005-02-27,Genoa,Bari,2,1,H,1,1,D,1.61,3.0,6.0,1.55,3.15,6.35,1.6,3.05,5.8,1.6,3.0,5.2,1.67,3.0,5.5,1.62,3.0,5.75,1.65,2.95,5.5,1.9,1.7,1.6,2.0,-0.5,IT,2004/2005
I2,2005-02-27,Pescara,Vicenza,4,0,H,0,0,D,2.2,2.75,3.25,2.2,2.7,3.4,2.2,2.7,3.35,2.0,2.7,3.6,2.1,2.75,3.5,2.2,2.7,3.3,2.15,2.75,3.35,1.9,1.7,2.2,1.5,-0.5,IT,2004/2005
I2,2005-02-27,Salernitana,Catanzaro,0,0,D,0,0,D,1.61,3.0,6.0,1.6,3.1,5.8,1.6,3.05,5.8,1.6,3.0,5.2,1.57,3.0,6.5,1.6,3.0,6.0,1.6,3.1,5.5,1.8,1.8,1.6,2.0,-0.5,IT,2004/2005
I2,2005-02-27,Ternana,Treviso,3,2,H,2,1,H,2.2,2.75,3.25,2.2,2.65,3.5,2.2,2.75,3.25,2.2,2.6,3.2,2.2,2.8,3.2,2.25,2.75,3.2,2.25,2.75,3.15,2.0,1.61,2.2,1.49,-0.5,IT,2004/2005
I2,2005-02-27,Triestina,Catania,3,1,H,2,0,H,2.37,2.62,3.2,2.35,2.6,3.25,2.3,2.7,3.1,2.3,2.6,3.0,2.38,2.75,3.0,2.38,2.62,3.1,,,,2.0,1.61,2.3,1.44,-0.5,IT,2004/2005
I2,2005-02-27,Venezia,Modena,0,0,D,0,0,D,2.37,2.75,3.0,2.35,2.75,3.05,2.3,2.8,3.0,2.4,2.6,2.9,2.25,2.88,3.0,2.3,2.75,3.1,2.4,2.8,2.85,1.95,1.66,2.3,1.45,-0.5,IT,2004/2005
I2,2005-02-27,Verona,Ascoli,2,2,D,1,2,A,1.9,2.87,4.0,2.0,2.8,3.8,1.9,2.85,4.0,1.9,2.7,4.0,1.9,2.88,4.0,1.95,2.8,4.0,1.95,2.8,3.9,1.85,1.74,1.9,1.66,-0.5,IT,2004/2005
I2,2005-02-28,Albinoleffe,Empoli,0,0,D,0,0,D,2.4,2.62,3.1,2.45,2.65,3.0,2.5,2.7,2.8,2.5,2.6,2.8,2.5,2.75,2.88,2.5,2.7,2.8,2.4,2.75,2.9,1.9,1.7,2.5,1.37,-0.5,IT,2004/2005
I2,2005-03-04,Bari,Crotone,0,0,D,0,0,D,1.8,2.87,4.5,1.75,2.85,5.05,1.75,2.9,4.85,1.75,2.8,4.5,1.7,3.0,5.0,1.75,2.88,4.75,1.75,2.85,5.0,1.61,2.0,1.75,1.81,-0.5,IT,2004/2005
I2,2005-03-06,Arezzo,Pescara,1,1,D,0,0,D,2.0,2.7,4.0,1.95,2.65,4.35,2.05,2.65,3.85,2.1,2.6,3.5,2.0,2.7,4.0,2.0,2.7,4.0,2.1,2.65,3.65,1.61,2.0,2.05,1.57,-0.5,IT,2004/2005
I2,2005-03-06,Ascoli,Albinoleffe,2,3,A,2,2,D,1.72,2.87,5.0,1.75,3.0,4.7,1.75,2.9,4.85,1.7,2.8,4.8,1.7,3.0,5.0,1.75,3.0,4.5,1.8,2.9,4.5,1.8,1.8,1.75,1.81,-0.5,IT,2004/2005
I2,2005-03-06,Catania,Verona,1,1,D,1,0,H,2.2,2.75,3.25,2.2,2.65,3.5,2.2,2.6,3.5,2.2,2.6,3.2,2.2,2.75,3.25,2.2,2.7,3.3,2.2,2.7,3.3,1.66,1.95,2.2,1.49,-0.5,IT,2004/2005
I2,2005-03-06,Catanzaro,Piacenza,1,3,A,1,1,D,2.5,2.87,2.62,2.5,2.85,2.7,2.6,2.8,2.65,2.65,2.6,2.65,2.6,2.8,2.62,2.6,2.75,2.62,2.6,2.8,2.6,1.66,1.95,2.6,1.36,-0.5,IT,2004/2005
I2,2005-03-06,Empoli,Venezia,5,2,H,3,2,H,1.5,3.4,6.0,1.45,3.45,7.0,1.45,3.4,7.2,1.45,3.3,6.4,1.44,3.3,7.5,1.44,3.5,7.0,1.45,3.4,7.0,1.56,2.1,1.45,2.31,-0.5,IT,2004/2005
I2,2005-03-06,Perugia,Modena,0,0,D,0,0,D,1.66,3.1,5.0,1.7,3.0,5.0,1.7,3.0,4.95,1.7,2.8,4.8,1.62,3.1,5.5,1.7,3.0,5.0,1.7,3.15,4.5,1.56,2.1,1.7,1.87,-0.5,IT,2004/2005
I2,2005-03-06,Torino,Salernitana,0,0,D,0,0,D,1.53,3.25,6.0,1.55,3.15,6.25,1.55,3.2,6.0,1.55,3.1,5.5,1.53,3.2,6.0,1.53,3.25,6.0,1.55,3.2,6.0,1.7,1.9,1.55,2.09,-0.5,IT,2004/2005
I2,2005-03-06,Triestina,Ternana,3,1,H,3,0,H,2.3,2.7,3.1,2.4,2.55,3.2,2.4,2.65,3.05,2.4,2.7,2.8,2.4,2.75,2.9,2.38,2.62,3.1,2.35,2.7,3.0,1.7,1.9,2.4,1.42,-0.5,IT,2004/2005
I2,2005-03-06,Vicenza,Cesena,4,1,H,1,1,D,1.8,2.87,4.5,1.85,2.65,4.9,1.85,2.8,4.5,1.85,2.7,4.2,1.83,2.8,4.5,1.83,2.8,4.5,1.9,2.8,4.1,1.8,1.8,1.85,1.73,-0.5,IT,2004/2005
I2,2005-03-07,Treviso,Genoa,3,0,H,1,0,H,2.5,2.62,2.87,2.7,2.5,2.85,2.65,2.6,2.8,2.5,2.6,2.8,2.5,2.62,2.9,2.6,2.62,2.8,2.3,2.7,3.1,1.66,1.95,2.65,1.35,-0.5,IT,2004/2005
I2,2005-05-28,Arezzo,Venezia,1,0,H,0,0,D,1.19,5.5,9.0,1.2,5.7,9.0,,,,,,,1.17,5.5,9.0,,,,,,,,,,,,IT,2004/2005
I2,2005-05-28,Ascoli,Perugia,0,1,A,0,1,A,2.62,2.1,3.75,2.7,2.05,3.75,2.6,2.1,3.65,,,,2.7,1.9,4.2,,,,2.6,2.0,3.8,2.1,1.56,,,,IT,2004/2005
I2,2005-05-28,Catania,Modena,0,1,A,0,0,D,3.5,2.62,2.2,3.3,2.75,2.2,3.3,2.75,2.2,,,,3.25,2.6,2.2,3.2,2.7,2.25,2.05,2.7,2.2,1.9,1.7,1.44,2.25,0.5,IT,2004/2005
I2,2005-05-28,Crotone,Piacenza,1,0,H,1,0,H,1.83,3.2,3.75,1.7,3.6,3.9,1.75,3.25,3.85,,,,1.83,3.1,3.75,1.75,3.25,4.0,1.85,3.1,3.5,,,1.75,1.76,-0.5,IT,2004/2005
I2,2005-05-28,Genoa,Catanzaro,3,1,H,1,0,H,1.1,7.0,13.0,1.08,7.7,15.0,,,,,,,1.14,5.5,13.0,,,,,,,,,,,,IT,2004/2005
I2,2005-05-28,Ternana,Torino,1,1,D,0,0,D,4.5,2.75,1.9,4.3,2.75,1.9,4.0,2.6,2.0,,,,4.0,2.6,2.0,3.75,2.6,2.1,3.65,2.6,2.05,2.0,1.61,1.51,2.1,0.5,IT,2004/2005
I2,2005-05-28,Treviso,Empoli,0,1,A,0,1,A,3.2,1.72,4.2,3.65,1.6,4.5,3.3,1.7,3.75,,,,3.25,1.67,4.5,,,,3.1,1.75,4.0,,,,,,IT,2004/2005
I2,2005-05-28,Triestina,Vicenza,1,1,D,0,0,D,1.9,2.62,4.5,2.0,2.5,4.5,1.95,2.5,4.5,,,,1.9,2.6,4.5,2.0,2.5,4.5,1.9,2.5,4.5,2.0,1.61,1.95,1.61,-0.5,IT,2004/2005
I2,2005-05-28,Verona,Salernitana,1,1,D,1,0,H,1.8,2.75,5.0,1.8,2.8,4.8,1.9,2.65,4.55,,,,2.0,2.6,4.0,1.85,2.6,5.0,1.85,2.6,4.5,2.0,1.61,1.85,1.67,-0.5,IT,2004/2005
I2,2005-06-05,Catanzaro,Verona,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-05,Cesena,Ternana,2,0,H,2,0,H,1.33,4.33,7.0,1.35,4.0,7.5,1.35,3.85,7.0,1.3,3.9,7.5,,,,1.3,4.2,8.5,,,,,,,,,IT,2004/2005
I2,2005-06-05,Empoli,Arezzo,1,1,D,0,0,D,,,,,,,3.0,1.35,13.0,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-05,Modena,Treviso,1,1,D,0,0,D,1.66,2.9,5.5,1.77,2.85,4.85,1.7,2.85,5.5,,,,,,,1.7,2.8,5.5,,,,,,,,,IT,2004/2005
I2,2005-06-05,Perugia,Triestina,1,0,H,1,0,H,1.57,2.87,7.0,1.6,2.85,6.75,1.6,2.75,7.0,1.5,3.0,6.2,,,,1.57,2.8,7.5,,,,,,,,,IT,2004/2005
I2,2005-06-05,Pescara,Crotone,1,4,A,1,2,A,2.0,2.8,3.75,1.95,2.8,4.0,2.0,2.85,3.75,2.1,2.7,3.4,,,,2.0,2.8,3.75,,,,,,2.0,1.62,-0.5,IT,2004/2005
I2,2005-06-05,Piacenza,Genoa,2,2,D,1,0,H,9.0,2.5,1.61,9.0,2.75,1.55,8.0,2.35,1.65,7.0,2.3,1.7,,,,8.5,2.6,1.62,,,,,,,,,IT,2004/2005
I2,2005-06-05,Salernitana,Ascoli,2,1,H,0,1,A,2.1,2.62,3.75,2.2,2.55,3.65,2.2,2.55,3.6,,,,,,,2.25,2.62,3.3,,,,,,,,,IT,2004/2005
I2,2005-06-05,Torino,Albinoleffe,3,1,H,2,1,H,1.2,5.0,10.0,1.2,5.25,10.0,1.17,5.0,10.0,1.15,5.2,10.0,,,,1.2,5.0,11.0,,,,,,,,,IT,2004/2005
I2,2005-06-05,Venezia,Catania,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-05,Vicenza,Bari,0,0,D,0,0,D,1.4,3.25,9.5,1.33,3.9,9.0,1.4,3.25,8.0,,,,,,,,,,,,,,,1.4,2.31,-0.5,IT,2004/2005
I2,2005-06-11,Albinoleffe,Perugia,0,1,A,0,1,A,,,,4.55,2.75,1.75,,,,,,,,,,4.75,3.0,1.73,,,,,,,,,IT,2004/2005
I2,2005-06-11,Arezzo,Vicenza,3,0,H,1,0,H,,,,2.0,2.55,4.15,2.05,2.6,4.0,,,,,,,2.0,2.62,4.0,,,,,,,,,IT,2004/2005
I2,2005-06-11,Ascoli,Modena,1,0,H,1,0,H,,,,2.2,2.6,3.4,2.2,2.6,3.5,,,,,,,2.2,2.62,3.4,,,,,,,,,IT,2004/2005
I2,2005-06-11,Bari,Empoli,4,1,H,2,0,H,,,,,,,5.0,1.5,3.5,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-11,Catania,Cesena,2,0,H,1,0,H,,,,1.95,2.1,6.1,2.0,2.2,6.0,,,,,,,2.0,2.1,6.5,,,,,,,,,IT,2004/2005
I2,2005-06-11,Crotone,Salernitana,4,1,H,3,0,H,,,,,,,1.1,7.0,14.0,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-11,Genoa,Venezia,3,2,H,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-11,Ternana,Catanzaro,3,2,H,2,0,H,,,,,,,1.5,3.0,6.0,,,,,,,,,,,,,,,,,,IT,2004/2005
I2,2005-06-11,Treviso,Torino,0,1,A,0,0,D,,,,4.85,2.55,1.8,4.25,2.85,1.8,,,,,,,3.8,2.8,1.95,,,,,,,,,IT,2004/2005
I2,2005-06-11,Triestina,Pescara,3,0,H,1,0,H,,,,,,,1.65,3.0,5.0,,,,,,,1.7,3.2,4.5,,,,,,,,,IT,2004/2005
I2,2005-06-11,Verona,Piacenza,1,0,H,0,0,D,,,,2.2,2.2,4.1,2.2,2.2,4.5,,,,,,,2.2,2.25,4.5,,,,,,,,,IT,2004/2005
