Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Country,Season
I2,2003-09-23,Verona,Napoli,1,1,D,0.0,0.0,D,2.1,2.62,3.75,2.05,2.65,3.85,1.9,2.6,3.8,2.0,2.625,4.0,2.1,2.7,3.6,2.05,2.7,3.45,,,,,,IT,2003/2004
I2,2003-09-27,Atalanta,Cagliari,2,1,H,2.0,1.0,H,2.37,2.5,3.25,2.3,2.45,3.5,2.3,2.4,3.0,2.25,2.5,3.5,2.4,2.5,3.25,2.25,2.5,3.3,1.95,1.66,2.0,1.73,-0.25,IT,2003/2004
I2,2003-09-27,Bari,Albinoleffe,0,1,A,0.0,1.0,A,1.66,2.87,5.5,1.55,3.05,6.5,1.65,2.8,4.6,1.571,2.875,6.5,1.61,2.9,6.0,1.55,3.0,6.0,1.95,1.66,1.75,1.97,-0.75,IT,2003/2004
I2,2003-09-27,Catania,Messina,1,0,H,1.0,0.0,H,1.8,2.7,5.0,1.85,2.6,5.0,1.9,2.6,3.7,1.833,2.6,5.0,1.85,2.6,5.0,1.75,2.7,4.8,1.9,1.7,1.85,1.86,-0.5,IT,2003/2004
I2,2003-09-27,Fiorentina,Piacenza,2,1,H,1.0,1.0,D,2.37,2.5,3.25,2.4,2.42,3.35,2.3,2.4,3.0,2.4,2.5,3.2,2.4,2.5,3.25,2.3,2.5,3.2,2.0,1.61,1.77,1.95,0.0,IT,2003/2004
I2,2003-09-27,Livorno,Salernitana,2,0,H,1.0,0.0,H,1.72,2.75,5.5,1.7,2.75,5.7,1.75,2.7,4.2,1.727,2.8,5.0,1.72,2.8,5.25,1.7,2.75,5.1,1.9,1.7,1.95,1.77,-0.75,IT,2003/2004
I2,2003-09-27,Napoli,Ascoli,1,1,D,0.0,0.0,D,1.9,2.62,4.5,1.82,2.65,5.0,1.9,2.6,3.7,1.909,2.6,4.5,1.9,2.6,4.6,1.8,2.7,4.5,2.0,1.61,,,,IT,2003/2004
I2,2003-09-27,Pescara,Triestina,1,0,H,1.0,0.0,H,2.37,2.5,3.25,2.4,2.5,3.2,2.4,2.4,2.9,2.4,2.6,3.0,2.4,2.5,3.25,2.3,2.6,3.05,1.95,1.66,1.77,1.95,0.0,IT,2003/2004
I2,2003-09-27,Ternana,Genoa,1,0,H,0.0,0.0,D,1.72,2.75,5.5,1.75,2.67,5.5,1.75,2.7,4.2,1.833,2.75,4.5,1.75,2.75,5.25,1.75,2.75,4.7,1.9,1.7,1.85,1.86,-0.75,IT,2003/2004
I2,2003-09-27,Torino,Palermo,2,1,H,2.0,0.0,H,2.25,2.6,3.4,2.3,2.45,3.5,2.3,2.4,3.0,2.25,2.5,3.5,2.3,2.6,3.25,2.2,2.5,3.4,1.95,1.66,2.0,1.73,-0.25,IT,2003/2004
I2,2003-09-27,Treviso,Como,2,0,H,2.0,0.0,H,1.9,2.62,4.5,1.8,2.62,5.25,1.8,2.7,3.9,1.909,2.6,4.5,1.85,2.62,4.8,1.9,2.6,4.2,2.0,1.61,1.8,1.91,-0.5,IT,2003/2004
I2,2003-09-27,Venezia,Avellino,2,1,H,1.0,0.0,H,1.9,2.87,4.0,2.0,2.75,3.8,2.0,2.6,3.4,2.1,2.625,3.6,2.0,2.75,3.8,1.9,2.7,4.0,1.9,1.7,1.87,1.81,-0.25,IT,2003/2004
I2,2003-09-27,Vicenza,Verona,1,2,A,1.0,1.0,D,2.1,2.62,3.75,2.2,2.5,3.65,2.2,2.5,3.1,2.2,2.6,3.4,2.2,2.62,3.4,2.05,2.6,3.65,1.95,1.66,1.92,1.79,-0.25,IT,2003/2004
I2,2003-04-10,Albinoleffe,Venezia,0,0,D,0.0,0.0,D,2.1,2.62,3.8,2.15,2.6,3.7,2.1,2.6,3.2,2.0,2.75,3.75,2.1,2.62,3.75,2.15,2.7,3.3,2.1,1.56,1.85,1.85,-0.25,IT,2003/2004
I2,2003-04-10,Ascoli,Livorno,0,1,A,0.0,0.0,D,2.2,2.6,3.5,2.3,2.5,3.5,2.1,2.6,3.2,2.3,2.6,3.2,2.2,2.62,3.4,2.0,2.7,3.75,2.0,1.61,1.95,1.75,-0.25,IT,2003/2004
I2,2003-04-10,Avellino,Vicenza,0,1,A,0.0,1.0,A,2.0,2.75,3.8,2.1,2.6,3.7,2.1,2.6,3.2,2.25,2.625,3.25,2.1,2.62,3.75,2.3,2.6,3.2,2.0,1.61,1.75,1.95,-0.25,IT,2003/2004
I2,2003-04-10,Como,Piacenza,2,2,D,0.0,2.0,A,2.62,2.75,2.62,2.65,2.5,2.85,2.5,2.5,2.7,2.7,2.625,2.625,2.5,2.62,2.9,2.25,2.65,3.2,2.1,1.56,1.8,1.9,0.0,IT,2003/2004
I2,2003-04-10,Genoa,Bari,2,0,H,0.0,0.0,D,2.1,2.6,3.8,2.1,2.6,3.75,2.1,2.6,3.2,2.1,2.625,3.6,2.1,2.62,3.75,2.35,2.6,3.1,2.1,1.56,1.8,1.9,-0.25,IT,2003/2004
I2,2003-04-10,Messina,Cagliari,2,2,D,1.0,0.0,H,2.75,2.5,2.75,2.65,2.5,2.85,2.6,2.5,2.6,2.625,2.625,2.7,2.6,2.6,2.8,2.7,2.6,2.6,2.0,1.61,1.8,1.9,0.0,IT,2003/2004
I2,2003-04-10,Palermo,Pescara,2,1,H,1.0,0.0,H,1.44,3.5,7.0,1.4,3.5,8.0,1.45,3.5,5.5,1.364,3.6,8.5,1.44,3.5,7.0,1.5,3.5,5.5,1.9,1.7,1.75,1.95,-1.0,IT,2003/2004
I2,2003-04-10,Salernitana,Fiorentina,1,0,H,1.0,0.0,H,2.4,2.6,3.1,2.5,2.5,3.1,2.4,2.5,2.8,2.4,2.625,3.0,2.4,2.5,3.2,2.45,2.6,2.9,2.1,1.56,1.75,1.95,0.0,IT,2003/2004
I2,2003-04-10,Ternana,Torino,0,0,D,0.0,0.0,D,2.1,2.6,3.8,2.35,2.5,3.3,2.4,2.6,2.7,2.5,2.625,2.875,2.3,2.6,3.25,2.25,2.65,3.2,1.95,1.66,2.0,1.7,-0.25,IT,2003/2004
I2,2003-04-10,Treviso,Catania,2,1,H,0.0,0.0,D,2.37,2.5,3.25,2.25,2.55,3.45,2.2,2.5,3.1,2.3,2.6,3.2,2.25,2.6,3.4,2.25,2.65,3.2,2.1,1.56,2.0,1.7,-0.25,IT,2003/2004
I2,2003-04-10,Triestina,Napoli,0,0,D,0.0,0.0,D,1.9,2.6,4.5,2.0,2.65,4.0,2.0,2.6,3.4,2.0,2.75,3.75,2.0,2.75,3.8,2.1,2.7,3.5,2.0,1.61,2.0,1.7,-0.5,IT,2003/2004
I2,2003-04-10,Verona,Atalanta,1,2,A,0.0,2.0,A,2.37,2.62,3.1,2.5,2.5,3.1,2.4,2.5,2.8,2.4,2.625,3.0,2.4,2.6,3.1,2.3,2.6,3.2,2.0,1.61,1.95,1.75,-0.25,IT,2003/2004
I2,2003-08-10,Ascoli,Genoa,0,1,A,0.0,0.0,D,2.2,2.62,3.4,2.25,2.6,3.35,2.2,2.5,3.1,2.2,2.6,3.4,2.2,2.6,3.5,1.85,2.7,4.5,1.9,1.7,1.95,1.75,-0.25,IT,2003/2004
I2,2003-08-10,Atalanta,Venezia,0,0,D,0.0,0.0,D,1.44,3.6,6.5,1.38,3.65,7.75,1.45,3.2,5.7,1.4,3.4,8.0,1.44,3.5,7.0,1.45,3.4,6.5,1.9,1.7,1.85,1.85,-1.25,IT,2003/2004
I2,2003-08-10,Livorno,Messina,3,0,H,3.0,0.0,H,1.72,2.75,5.5,1.7,2.75,5.7,1.75,2.7,4.2,1.8,2.62,5.0,1.75,2.8,5.0,1.65,2.9,5.5,1.9,1.7,1.7,2.0,-0.5,IT,2003/2004
I2,2003-08-10,Palermo,Piacenza,1,1,D,0.0,0.0,D,1.9,2.62,4.5,1.8,2.68,5.0,1.8,2.6,4.1,1.9,2.6,4.5,1.85,2.75,4.5,1.75,2.8,4.8,1.95,1.66,1.8,1.9,-0.5,IT,2003/2004
I2,2003-08-10,Pescara,Fiorentina,0,0,D,0.0,0.0,D,2.37,2.5,3.25,2.3,2.55,3.3,2.3,2.5,2.9,2.4,2.6,3.0,2.3,2.6,3.25,2.2,2.5,3.6,2.1,1.56,2.0,1.7,-0.25,IT,2003/2004
I2,2003-02-11,Venezia,Bari,3,2,H,1.0,1.0,D,2.2,2.62,3.4,2.15,2.6,3.6,2.2,2.6,3.0,2.2,2.6,3.4,2.2,2.62,3.5,2.1,2.7,3.45,2.2,1.51,1.9,1.8,-0.25,IT,2003/2004
I2,2003-09-11,Albinoleffe,Piacenza,0,0,D,0.0,0.0,D,2.62,2.5,2.87,2.45,2.5,3.1,2.4,2.5,2.8,2.4,2.6,3.0,2.5,2.6,2.9,2.35,2.7,2.95,2.1,1.56,1.85,1.85,0.0,IT,2003/2004
I2,2003-09-11,Ascoli,Atalanta,1,1,D,0.0,0.0,D,2.87,2.5,2.62,2.95,2.5,2.55,2.7,2.5,2.5,2.75,2.6,2.6,2.9,2.5,2.6,2.7,2.6,2.6,2.0,1.6,1.85,1.85,0.0,IT,2003/2004
I2,2003-09-11,Bari,Messina,1,3,A,0.0,0.0,D,2.2,2.62,3.4,2.1,2.6,3.7,2.1,2.6,3.2,2.25,2.6,3.25,2.2,2.62,3.5,2.0,2.7,3.75,1.95,1.66,2.1,1.67,-0.5,IT,2003/2004
I2,2003-09-11,Catania,Palermo,0,2,A,0.0,1.0,A,2.7,2.37,3.0,,,,2.5,2.5,2.7,2.6,2.6,2.75,2.5,2.6,2.9,2.4,2.6,3.0,,,,,,IT,2003/2004
I2,2003-09-11,Como,Cagliari,1,3,A,0.0,1.0,A,2.75,2.5,2.8,2.7,2.6,2.7,2.7,2.5,2.5,2.6,2.6,2.75,2.7,2.62,2.7,2.65,2.6,2.65,1.95,1.66,1.85,1.85,0.0,IT,2003/2004
I2,2003-09-11,Napoli,Salernitana,0,0,D,0.0,0.0,D,1.9,2.62,4.5,1.83,2.65,4.9,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.7,4.6,1.9,2.7,4.2,2.2,1.51,1.9,1.8,-0.5,IT,2003/2004
I2,2003-09-11,Pescara,Livorno,0,0,D,0.0,0.0,D,2.5,2.5,3.0,2.45,2.5,3.1,2.4,2.5,2.8,2.4,2.6,3.0,2.4,2.6,3.1,2.4,2.6,3.0,2.1,1.56,1.77,1.95,0.0,IT,2003/2004
I2,2003-09-11,Ternana,Fiorentina,3,2,H,1.0,1.0,D,1.83,2.62,5.0,1.8,2.7,4.9,1.85,2.7,3.7,1.8,2.625,5.0,1.83,2.7,4.75,1.85,2.7,4.5,2.2,1.51,1.85,1.85,-0.5,IT,2003/2004
I2,2003-09-11,Treviso,Triestina,2,1,H,1.0,0.0,H,1.9,2.7,4.33,1.87,2.7,4.5,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.75,4.5,1.95,2.7,4.0,2.0,1.61,1.9,1.8,-0.5,IT,2003/2004
I2,2003-09-11,Venezia,Torino,2,1,H,2.0,0.0,H,2.87,2.5,2.62,2.75,2.6,2.65,2.7,2.5,2.5,2.6,2.6,2.75,2.7,2.6,2.7,2.65,2.6,2.65,1.95,1.65,1.85,1.85,0.0,IT,2003/2004
I2,2003-09-11,Verona,Avellino,2,2,D,2.0,1.0,H,1.53,3.0,7.0,1.55,3.2,5.8,1.55,3.0,5.0,1.571,3.2,5.5,1.57,3.1,6.0,1.55,3.25,5.5,1.74,1.85,1.8,1.9,-0.75,IT,2003/2004
I2,2003-09-11,Vicenza,Genoa,0,0,D,0.0,0.0,D,2.2,2.8,3.2,2.15,2.6,3.6,2.1,2.6,3.2,2.2,2.7,3.25,2.2,2.62,3.5,2.0,2.7,3.75,1.9,1.7,1.8,1.9,-0.25,IT,2003/2004
I2,2003-11-16,Atalanta,Como,2,1,H,0.0,1.0,A,1.36,3.75,8.0,1.35,3.85,8.0,1.35,3.5,7.0,1.33,3.75,8.0,1.33,4.0,8.0,1.33,4.0,8.0,1.74,1.85,1.9,1.8,-1.25,IT,2003/2004
I2,2003-11-16,Avellino,Albinoleffe,0,3,A,0.0,3.0,A,2.1,2.75,3.5,2.1,2.75,3.45,2.1,2.6,3.2,2.1,2.88,3.2,2.1,2.75,3.5,2.1,2.75,3.5,1.8,1.8,1.8,1.9,-0.25,IT,2003/2004
I2,2003-11-16,Cagliari,Venezia,2,2,D,1.0,2.0,A,1.61,3.1,5.5,1.51,3.15,6.75,1.55,2.8,5.5,1.57,3.0,6.0,1.57,3.1,6.0,1.57,3.1,6.0,1.85,1.74,1.95,1.75,-1.0,IT,2003/2004
I2,2003-11-16,Fiorentina,Genoa,2,2,D,2.0,0.0,H,1.8,2.7,5.0,1.9,2.6,4.6,1.85,2.7,3.7,1.9,2.6,4.5,1.85,2.75,4.5,1.85,2.75,4.5,2.2,1.51,1.9,1.8,-0.5,IT,2003/2004
I2,2003-11-16,Livorno,Treviso,2,0,H,0.0,0.0,D,1.83,2.8,4.5,1.75,2.7,5.3,1.75,2.7,4.2,1.75,2.6,5.5,1.75,2.8,5.0,1.75,2.8,5.0,2.1,1.56,1.95,1.75,-0.75,IT,2003/2004
I2,2003-11-16,Messina,Verona,1,0,H,1.0,0.0,H,1.83,2.62,5.0,1.85,2.65,4.75,1.85,2.6,3.9,1.8,2.62,5.0,1.85,2.75,4.5,1.85,2.75,4.5,1.85,1.74,1.85,1.85,-0.5,IT,2003/2004
I2,2003-11-16,Palermo,Napoli,4,0,H,2.0,0.0,H,1.61,2.87,6.5,1.65,2.9,5.75,1.65,2.7,4.8,1.67,2.75,6.0,1.62,3.0,5.75,1.62,3.0,5.75,2.2,1.51,1.75,1.95,-0.75,IT,2003/2004
I2,2003-11-16,Pescara,Piacenza,1,0,H,1.0,0.0,H,2.3,2.6,3.25,2.4,2.5,3.2,2.4,2.4,2.9,2.25,2.6,3.25,2.3,2.6,3.25,2.3,2.6,3.25,2.2,1.51,1.95,1.75,-0.25,IT,2003/2004
I2,2003-11-16,Salernitana,Bari,2,0,H,1.0,0.0,H,2.0,2.7,4.0,2.05,2.6,3.9,2.0,2.6,3.4,2.1,2.6,3.75,2.0,2.7,4.0,2.0,2.7,4.0,2.0,1.61,1.8,1.9,-0.25,IT,2003/2004
I2,2003-11-16,Ternana,Ascoli,1,1,D,1.0,1.0,D,1.57,3.0,6.5,1.55,3.0,6.6,1.55,3.0,5.0,1.6,2.8,6.5,1.57,3.0,6.5,1.57,3.0,6.5,1.85,1.74,1.75,1.95,-0.75,IT,2003/2004
I2,2003-11-16,Torino,Catania,1,0,H,1.0,0.0,H,1.61,3.1,5.5,1.55,3.15,6.0,1.6,3.0,4.6,1.53,3.2,6.0,1.62,3.0,5.75,1.62,3.0,5.75,,,1.85,1.85,-0.75,IT,2003/2004
I2,2003-11-16,Triestina,Vicenza,0,1,A,0.0,1.0,A,1.83,2.62,5.0,1.95,2.6,4.3,1.9,2.6,3.8,1.9,2.6,4.5,1.91,2.75,4.2,1.91,2.75,4.2,2.0,1.61,1.95,1.75,-0.5,IT,2003/2004
