Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA,Country,Season
I2,2001-02-03,Empoli,Sampdoria,0,0,D,0,0,D,2.48,2.6,2.9,2.4,2.4,2.9,2.5,2.4,3.1,IT,2000/2001
I2,2001-04-03,Ancona,Cosenza,3,1,H,1,0,H,2.27,2.65,3.18,2.2,2.4,3.2,2.2,2.4,3.75,IT,2000/2001
I2,2001-04-03,Cagliari,Piacenza,0,0,D,0,0,D,2.25,2.65,3.2,2.2,2.4,3.2,2.1,2.5,3.8,IT,2000/2001
I2,2001-04-03,Crotone,Venezia,2,2,D,2,1,H,2.67,2.6,2.7,2.5,2.4,2.8,2.75,2.4,2.8,IT,2000/2001
I2,2001-04-03,Genoa,Ternana,2,2,D,1,2,A,2.2,2.6,3.4,2.2,2.4,3.2,2.25,2.4,3.6,IT,2000/2001
I2,2001-04-03,Ravenna,Pescara,2,3,A,2,1,H,2.07,2.7,3.6,2.1,2.3,3.7,2.0,2.9,3.4,IT,2000/2001
I2,2001-04-03,Siena,Salernitana,0,0,D,0,0,D,2.0,2.7,3.8,2.0,2.4,3.7,1.9,2.5,4.7,IT,2000/2001
I2,2001-04-03,Torino,Monza,2,1,H,1,1,D,1.3,4.0,8.6,1.3,3.5,8.5,1.3,4.0,8.5,IT,2000/2001
I2,2001-04-03,Treviso,Pistoiese,1,2,A,1,1,D,1.97,2.65,4.0,1.7,2.6,4.8,1.8,2.6,5.0,IT,2000/2001
I2,2001-05-03,Cittadella,Chievo,0,0,D,0,0,D,3.05,2.2,2.8,3.0,2.2,2.6,3.0,2.3,2.7,IT,2000/2001
I2,2001-09-03,Piacenza,Crotone,1,2,A,0,1,A,1.55,3.0,6.4,1.55,2.7,6.0,1.45,3.25,7.0,IT,2000/2001
I2,2001-11-03,Chievo,Ravenna,0,0,D,0,0,D,1.35,3.6,8.0,1.4,3.0,7.5,1.25,4.25,9.5,IT,2000/2001
I2,2001-11-03,Cosenza,Empoli,1,1,D,0,1,A,1.68,2.8,5.5,1.7,2.6,4.8,1.65,2.7,6.0,IT,2000/2001
I2,2001-11-03,Monza,Cagliari,1,0,H,0,0,D,2.85,2.5,2.6,2.7,2.5,2.5,2.6,2.7,2.6,IT,2000/2001
I2,2001-11-03,Pescara,Siena,0,0,D,0,0,D,2.0,2.7,3.9,1.85,2.5,4.2,1.65,2.9,5.25,IT,2000/2001
I2,2001-11-03,Pistoiese,Ancona,1,1,D,0,1,A,2.15,2.5,3.7,2.0,2.4,3.8,2.0,2.5,4.2,IT,2000/2001
I2,2001-11-03,Salernitana,Treviso,0,1,A,0,1,A,1.72,2.8,5.1,1.7,2.5,5.0,1.6,3.0,5.5,IT,2000/2001
I2,2001-11-03,Sampdoria,Cittadella,2,0,H,1,0,H,1.47,3.2,7.0,1.45,2.9,7.0,1.4,3.4,7.5,IT,2000/2001
I2,2001-11-03,Venezia,Genoa,1,1,D,1,0,H,1.52,3.05,6.7,1.6,2.6,5.8,1.55,2.95,6.5,IT,2000/2001
I2,2001-12-03,Ternana,Torino,0,1,A,0,1,A,2.15,2.55,3.6,2.2,2.4,3.4,2.0,2.65,3.8,IT,2000/2001
